Rotissol and Greens, -122.680679, 45.520798
Roy Thai, -122.675880, 45.548260
Saigon, -122.676384, 45.520844
Samurai, -122.681107, 45.520531
Saucy's BBQ, -122.695557, 45.562443
Sausage Shack, -122.674370, 45.520199
Savor Soup House, -122.681862, 45.520721
Savvy Js, -122.750641, 45.589493
Sawasdee Thai, -122.681053, 45.520512
Scoop, -122.695404, 45.562698
Sila Thai, -122.695557, 45.562496
Smokin' Pig, -122.676277, 45.521011
SomTum Gai Yang, -122.682167, 45.520794
Sonny Bowl, -122.674683, 45.519695
Southwestern Pizza Company, -122.611542, 45.504478
Spoons, -122.676163, 45.521263
Starchy and Husk, -122.672920, 45.520676
Steve's Chicken and Waffles, -122.628448, 45.516510
Stevie's Chicken 'N Waffles, -122.661125, 45.577171
Stick-It, -122.750664, 45.589458
Tabor, -122.676277, 45.520813
Taqueria El Canario, -122.674286, 45.522598
Taqueria Villanueva, -122.681351, 45.509758
Taste of Korea, -122.674637, 45.519798
Taste of Poland, -122.676270, 45.520977
Thai Basil, -122.673203, 45.520630
Thai Herb, -122.681175, 45.520542
Thai Pasta, -122.681366, 45.509739
Thai Sky, -122.676186, 45.521229
The Baowry, -122.752541, 45.589054
The Big Egg, -122.675995, 45.554501
The Burger Jerk, -122.681633, 45.509254
The Deadliest Catch, -122.611542, 45.504620
The Dog House, -122.643173, 45.558990
The Dump Truck, -122.682228, 45.520824
The Fried Onion, -122.662651, 45.518044
The Frying Scotsman, -122.680702, 45.520706
The Gaufre Gourmet, -122.674286, 45.523258
The Grill Hut, -122.674271, 45.520172
The Kettle Kitchen, -122.680580, 45.520962
The People's Pig, -122.680832, 45.520485
The Ruby Dragon, -122.675835, 45.554298
The Sugar Cube, -122.618141, 45.516319
The Sushi Tree, -122.675903, 45.554298
The Swamp Shack, -122.676155, 45.520782
The Whole Bowl, -122.681274, 45.520569
Tito's 2, -122.681480, 45.520626
Tito's Burritos, -122.674706, 45.519646
Todbott's Triangles, -122.634712, 45.558777
Treat Machine, -122.645721, 45.517059
Truck Yeah, -122.660988, 45.577053
Ugarit Mediterranean, -122.681732, 45.520935
Urban Garlic, -122.618149, 45.516174
Van Schnitzels, -122.611168, 45.504578
Veli Thai Food, -122.676315, 45.520981
Viet Cuisine, -122.673302, 45.520443
Vietnamese Banh Mi, -122.681488, 45.509506
Viking Soul Food, -122.662346, 45.542400
Violetta Rolling 'Etta, -122.680687, 45.518482
We be Wieners, -122.611542, 45.504536
Wet Hot Beef, -122.662125, 45.542412
Whiffies Fried Pies, -122.653229, 45.512341
Wolf and Bear's, -122.645714, 45.516987
Yogio, -122.643318, 45.558956
Yum Zap, -122.618019, 45.516350
Zenbu, -122.653069, 45.466900
Ziba's Pita's, -122.680893, 45.520477
